Criminal ID,Age,Gender,Crime Type,Crime Location,Time of Crime,Weapon Used,Prior Offenses,Modus Operandi,Associated Gang,Psychological Profile,Footprint/Fingerprint Match,Escape Method,Conviction Status,Sentence Duration
24,51+,Male,Drug Offense,City,Evening,Digital Tools,Yes,Breaking & Entering,No,Manipulative,No,Fake Identity,Acquitted,N/A
25,26-35,Female,Kidnapping,Metro,Morning,Knife,No,Breaking & Entering,No,Aggressive,Yes,Running,Convicted,Death
26,26-35,Female,Human Trafficking,Rural,Morning,None,Yes,Online Fraud,No,Opportunistic,No,None,Convicted,Life
27,36-50,Other,Fraud,City,Morning,Knife,Yes,Online Fraud,Yes,Aggressive,Yes,None,Under Trial,N/A
28,51+,Other,Fraud,City,Night,None,No,Brute Force,Yes,Opportunistic,No,None,Convicted,Death
29,51+,Other,Theft,City,Evening,Digital Tools,No,Social Engineering,Yes,Opportunistic,No,Vehicle,Under Trial,N/A
30,36-50,Male,Fraud,Metro,Evening,None,Yes,Breaking & Entering,No,Opportunistic,Yes,Vehicle,Under Trial,N/A
31,51+,Female,Human Trafficking,Rural,Night,Knife,Yes,Online Fraud,No,Calculated,Yes,Vehicle,Under Trial,N/A
32,18-25,Female,Murder,City,Night,Knife,Yes,Extortion,No,Aggressive,Yes,Fake Identity,Under Trial,N/A
33,26-35,Other,Drug Offense,Rural,Evening,None,Yes,Extortion,No,Opportunistic,Yes,Vehicle,Under Trial,N/A
34,36-50,Female,Fraud,Rural,Morning,Digital Tools,No,Breaking & Entering,No,Calculated,No,Vehicle,Acquitted,N/A
35,18-25,Other,Theft,Rural,Evening,Knife,No,Extortion,Yes,Aggressive,No,Vehicle,Acquitted,N/A
36,18-25,Male,Human Trafficking,Metro,Evening,Digital Tools,Yes,Brute Force,Yes,Manipulative,No,Running,Acquitted,N/A
37,51+,Female,Fraud,City,Evening,Digital Tools,No,Breaking & Entering,No,Opportunistic,No,Fake Identity,Under Trial,N/A
38,51+,Male,Fraud,Metro,Morning,None,No,Online Fraud,Yes,Manipulative,Yes,Running,Convicted,Long-term
39,18-25,Male,Assault,City,Evening,Gun,Yes,Brute Force,No,Manipulative,No,None,Under Trial,N/A
40,36-50,Female,Human Trafficking,Rural,Night,Digital Tools,No,Brute Force,No,Aggressive,Yes,Fake Identity,Convicted,Death
41,36-50,Male,Cybercrime,Metro,Night,Digital Tools,No,Online Fraud,No,Manipulative,Yes,Running,Acquitted,N/A
42,18-25,Female,Theft,City,Night,None,Yes,Breaking & Entering,No,Opportunistic,Yes,None,Under Trial,N/A
43,36-50,Other,Assault,Metro,Night,Gun,No,Social Engineering,No,Manipulative,No,Fake Identity,Under Trial,N/A
44,26-35,Male,Cybercrime,City,Evening,Digital Tools,Yes,Online Fraud,Yes,Aggressive,Yes,None,Convicted,Short-term
45,18-25,Male,Assault,Metro,Morning,Gun,Yes,Online Fraud,No,Opportunistic,No,Fake Identity,Convicted,Life
46,26-35,Male,Fraud,Metro,Morning,Digital Tools,Yes,Brute Force,Yes,Manipulative,Yes,Vehicle,Acquitted,N/A
47,18-25,Female,Fraud,Rural,Evening,None,No,Social Engineering,No,Calculated,Yes,Fake Identity,Under Trial,N/A
48,51+,Female,Human Trafficking,Metro,Morning,Gun,No,Extortion,No,Calculated,Yes,Running,Acquitted,N/A
49,51+,Male,Kidnapping,City,Night,Digital Tools,Yes,Brute Force,Yes,Manipulative,Yes,Fake Identity,Acquitted,N/A
50,51+,Female,Human Trafficking,City,Morning,Knife,Yes,Extortion,No,Aggressive,No,Running,Acquitted,N/A
51,18-25,Female,Theft,City,Morning,Digital Tools,Yes,Social Engineering,No,Opportunistic,No,None,Acquitted,N/A
52,26-35,Male,Human Trafficking,Metro,Morning,Digital Tools,No,Social Engineering,No,Manipulative,Yes,Running,Convicted,Short-term
53,51+,Male,Assault,Metro,Evening,Gun,No,Extortion,No,Opportunistic,No,Fake Identity,Convicted,Long-term
54,51+,Male,Human Trafficking,Metro,Night,Digital Tools,Yes,Brute Force,No,Calculated,No,Running,Acquitted,N/A
55,26-35,Male,Human Trafficking,Metro,Night,None,No,Brute Force,Yes,Calculated,No,None,Acquitted,N/A
56,26-35,Female,Cybercrime,Metro,Evening,Knife,No,Breaking & Entering,No,Manipulative,Yes,Running,Convicted,Life
57,18-25,Male,Human Trafficking,City,Night,Gun,Yes,Online Fraud,No,Calculated,No,Running,Convicted,Long-term
58,51+,Male,Theft,Metro,Evening,Knife,Yes,Extortion,No,Aggressive,No,Running,Convicted,Life
59,36-50,Male,Kidnapping,City,Evening,None,Yes,Breaking & Entering,No,Opportunistic,Yes,Running,Under Trial,N/A
60,26-35,Other,Human Trafficking,Metro,Night,None,Yes,Brute Force,No,Opportunistic,Yes,Running,Acquitted,N/A
61,51+,Other,Drug Offense,Rural,Night,Gun,Yes,Breaking & Entering,Yes,Aggressive,Yes,Running,Convicted,Long-term
62,36-50,Female,Kidnapping,Rural,Morning,Digital Tools,No,Brute Force,Yes,Manipulative,Yes,Vehicle,Under Trial,N/A
63,36-50,Other,Theft,Rural,Night,Digital Tools,No,Online Fraud,No,Opportunistic,Yes,Running,Under Trial,N/A
64,51+,Other,Assault,Metro,Night,None,No,Breaking & Entering,Yes,Calculated,Yes,None,Under Trial,N/A
65,51+,Male,Drug Offense,Metro,Morning,Digital Tools,No,Brute Force,No,Manipulative,No,Vehicle,Under Trial,N/A
66,51+,Female,Theft,City,Morning,Knife,Yes,Brute Force,Yes,Aggressive,No,Running,Acquitted,N/A
67,18-25,Female,Cybercrime,Rural,Morning,Knife,No,Social Engineering,No,Calculated,No,Vehicle,Acquitted,N/A
68,36-50,Female,Kidnapping,Rural,Night,Gun,Yes,Brute Force,No,Opportunistic,Yes,Vehicle,Convicted,Long-term
69,51+,Female,Murder,Metro,Morning,Knife,Yes,Breaking & Entering,No,Calculated,No,Running,Convicted,Short-term
70,36-50,Female,Theft,Rural,Night,Digital Tools,No,Brute Force,No,Calculated,No,Running,Convicted,Life
71,51+,Male,Cybercrime,Rural,Night,None,Yes,Online Fraud,No,Opportunistic,Yes,Fake Identity,Under Trial,N/A
72,26-35,Other,Drug Offense,Metro,Evening,Gun,Yes,Online Fraud,No,Opportunistic,Yes,Fake Identity,Under Trial,N/A
73,26-35,Other,Fraud,Metro,Evening,Digital Tools,Yes,Online Fraud,Yes,Aggressive,No,Running,Convicted,Short-term
74,18-25,Male,Drug Offense,Metro,Night,Gun,No,Extortion,Yes,Manipulative,No,Vehicle,Acquitted,N/A
75,51+,Other,Kidnapping,City,Morning,Gun,No,Brute Force,Yes,Aggressive,Yes,Fake Identity,Convicted,Death
76,51+,Male,Drug Offense,Rural,Morning,Gun,No,Social Engineering,No,Opportunistic,No,Vehicle,Acquitted,N/A
77,18-25,Female,Cybercrime,Metro,Morning,Digital Tools,No,Social Engineering,Yes,Opportunistic,No,Fake Identity,Convicted,Life
78,36-50,Male,Cybercrime,City,Morning,Knife,Yes,Online Fraud,Yes,Calculated,No,Vehicle,Under Trial,N/A
79,51+,Female,Murder,Metro,Night,Knife,No,Brute Force,No,Opportunistic,Yes,Vehicle,Acquitted,N/A
80,51+,Female,Kidnapping,Rural,Evening,Knife,Yes,Online Fraud,No,Opportunistic,No,Fake Identity,Acquitted,N/A
81,18-25,Other,Fraud,Metro,Morning,None,No,Online Fraud,No,Calculated,No,Vehicle,Under Trial,N/A
82,18-25,Female,Murder,Metro,Night,Gun,No,Breaking & Entering,No,Manipulative,No,Running,Convicted,Life
83,26-35,Male,Fraud,Rural,Night,None,No,Social Engineering,Yes,Aggressive,No,Vehicle,Convicted,Long-term
84,18-25,Other,Murder,City,Evening,Gun,No,Brute Force,No,Calculated,No,Running,Acquitted,N/A
85,18-25,Female,Cybercrime,Metro,Night,None,No,Breaking & Entering,No,Opportunistic,Yes,Running,Under Trial,N/A
86,26-35,Other,Human Trafficking,Metro,Morning,Knife,Yes,Online Fraud,Yes,Aggressive,Yes,Vehicle,Under Trial,N/A
87,18-25,Male,Murder,Metro,Evening,None,Yes,Social Engineering,Yes,Opportunistic,No,None,Acquitted,N/A
88,18-25,Other,Assault,Metro,Night,None,No,Social Engineering,No,Manipulative,Yes,Running,Acquitted,N/A
89,36-50,Male,Drug Offense,Metro,Evening,Digital Tools,Yes,Brute Force,No,Opportunistic,No,Running,Under Trial,N/A
90,51+,Male,Human Trafficking,Rural,Evening,None,No,Brute Force,No,Opportunistic,Yes,Vehicle,Under Trial,N/A
91,51+,Female,Kidnapping,Rural,Morning,Knife,Yes,Breaking & Entering,No,Aggressive,Yes,None,Under Trial,N/A
92,18-25,Other,Cybercrime,City,Night,Digital Tools,No,Extortion,Yes,Aggressive,Yes,Fake Identity,Under Trial,N/A
93,51+,Other,Theft,City,Evening,Gun,No,Social Engineering,Yes,Opportunistic,Yes,Vehicle,Acquitted,N/A
94,51+,Female,Murder,City,Night,Gun,No,Breaking & Entering,Yes,Calculated,Yes,Fake Identity,Under Trial,N/A
95,26-35,Female,Murder,Metro,Evening,Digital Tools,No,Extortion,Yes,Calculated,Yes,Vehicle,Acquitted,N/A
96,18-25,Other,Fraud,Metro,Night,None,No,Extortion,Yes,Manipulative,No,Vehicle,Under Trial,N/A
97,18-25,Female,Cybercrime,City,Night,Gun,No,Online Fraud,No,Aggressive,No,Running,Acquitted,N/A
98,51+,Female,Human Trafficking,Rural,Morning,Knife,No,Extortion,Yes,Manipulative,Yes,Fake Identity,Under Trial,N/A
99,26-35,Female,Cybercrime,Metro,Morning,Digital Tools,Yes,Breaking & Entering,No,Manipulative,No,Vehicle,Under Trial,N/A
100,51+,Other,Human Trafficking,City,Night,Digital Tools,Yes,Brute Force,No,Aggressive,Yes,Running,Under Trial,N/A
101,51+,Male,Theft,Rural,Night,Digital Tools,Yes,Breaking & Entering,No,Aggressive,Yes,Running,Acquitted,N/A
102,51+,Other,Drug Offense,Metro,Evening,Digital Tools,Yes,Extortion,Yes,Opportunistic,Yes,None,Convicted,Death
103,51+,Female,Assault,City,Evening,Knife,Yes,Breaking & Entering,No,Opportunistic,Yes,Running,Acquitted,N/A
104,26-35,Female,Fraud,City,Night,Digital Tools,No,Social Engineering,Yes,Calculated,Yes,None,Acquitted,N/A
105,51+,Other,Theft,Metro,Evening,Knife,No,Social Engineering,Yes,Opportunistic,Yes,None,Under Trial,N/A
106,18-25,Female,Theft,Rural,Night,Knife,No,Extortion,Yes,Calculated,Yes,Fake Identity,Convicted,Death
107,26-35,Female,Theft,City,Night,Gun,No,Breaking & Entering,Yes,Calculated,No,Fake Identity,Under Trial,N/A
108,36-50,Other,Drug Offense,Metro,Morning,Gun,No,Online Fraud,No,Opportunistic,Yes,Vehicle,Under Trial,N/A
109,26-35,Female,Murder,Rural,Evening,None,Yes,Social Engineering,Yes,Aggressive,Yes,None,Convicted,Death
110,36-50,Female,Drug Offense,Metro,Evening,Gun,Yes,Brute Force,No,Aggressive,Yes,None,Convicted,Long-term
111,26-35,Other,Kidnapping,Rural,Night,Digital Tools,No,Online Fraud,Yes,Calculated,No,None,Under Trial,N/A
112,26-35,Other,Fraud,Rural,Morning,Gun,Yes,Social Engineering,No,Calculated,No,Vehicle,Under Trial,N/A
113,18-25,Female,Assault,City,Evening,Digital Tools,No,Brute Force,No,Manipulative,Yes,Running,Under Trial,N/A
114,51+,Male,Assault,City,Night,Knife,No,Social Engineering,Yes,Manipulative,Yes,Fake Identity,Under Trial,N/A
115,18-25,Male,Kidnapping,Metro,Night,Knife,No,Social Engineering,Yes,Opportunistic,Yes,Running,Under Trial,N/A
116,18-25,Male,Murder,City,Morning,Knife,No,Online Fraud,No,Opportunistic,Yes,Vehicle,Convicted,Short-term
117,36-50,Male,Drug Offense,Rural,Night,None,No,Social Engineering,Yes,Aggressive,No,Running,Convicted,Death
118,26-35,Female,Murder,Metro,Night,Knife,Yes,Social Engineering,Yes,Manipulative,Yes,Vehicle,Convicted,Death
119,18-25,Other,Assault,Rural,Night,Digital Tools,No,Brute Force,No,Opportunistic,No,None,Convicted,Short-term
120,18-25,Female,Fraud,Metro,Morning,Gun,Yes,Brute Force,Yes,Manipulative,Yes,Vehicle,Acquitted,N/A
121,51+,Male,Fraud,City,Night,Digital Tools,Yes,Brute Force,Yes,Calculated,Yes,Vehicle,Acquitted,N/A
122,36-50,Female,Assault,Rural,Evening,None,No,Online Fraud,No,Opportunistic,No,Running,Under Trial,N/A
123,26-35,Female,Drug Offense,Metro,Morning,Gun,No,Extortion,Yes,Opportunistic,No,Vehicle,Acquitted,N/A
124,26-35,Other,Murder,City,Morning,Gun,No,Online Fraud,Yes,Manipulative,Yes,None,Under Trial,N/A
125,36-50,Other,Human Trafficking,City,Evening,Knife,No,Brute Force,Yes,Aggressive,No,Vehicle,Convicted,Short-term
126,36-50,Other,Drug Offense,City,Morning,Gun,No,Breaking & Entering,No,Calculated,Yes,Running,Acquitted,N/A
127,51+,Male,Human Trafficking,Rural,Morning,Knife,Yes,Online Fraud,No,Calculated,No,Running,Acquitted,N/A
128,36-50,Other,Drug Offense,City,Evening,None,No,Brute Force,No,Opportunistic,Yes,Fake Identity,Under Trial,N/A
129,36-50,Female,Human Trafficking,Rural,Night,Digital Tools,No,Extortion,Yes,Opportunistic,No,Fake Identity,Under Trial,N/A
130,18-25,Female,Murder,Rural,Morning,Digital Tools,No,Extortion,No,Aggressive,Yes,None,Convicted,Long-term
131,18-25,Male,Theft,City,Night,Digital Tools,No,Brute Force,Yes,Opportunistic,No,Vehicle,Convicted,Death
132,36-50,Male,Drug Offense,Metro,Evening,Gun,No,Brute Force,Yes,Opportunistic,No,None,Convicted,Death
133,51+,Other,Fraud,Rural,Evening,Knife,Yes,Breaking & Entering,Yes,Calculated,Yes,Running,Under Trial,N/A
134,51+,Other,Murder,Metro,Evening,Gun,No,Breaking & Entering,No,Manipulative,No,Fake Identity,Convicted,Death
135,51+,Male,Assault,City,Night,Gun,Yes,Breaking & Entering,No,Calculated,Yes,Vehicle,Under Trial,N/A
136,51+,Male,Kidnapping,Rural,Night,Digital Tools,Yes,Online Fraud,Yes,Aggressive,No,Fake Identity,Convicted,Life
137,36-50,Male,Murder,City,Night,Digital Tools,Yes,Social Engineering,No,Calculated,Yes,Vehicle,Convicted,Long-term
138,51+,Other,Human Trafficking,Rural,Morning,Digital Tools,No,Online Fraud,Yes,Calculated,Yes,None,Acquitted,N/A
139,18-25,Other,Cybercrime,Rural,Night,Knife,Yes,Social Engineering,Yes,Manipulative,No,Running,Convicted,Short-term
140,26-35,Other,Cybercrime,Metro,Morning,Gun,Yes,Brute Force,Yes,Calculated,No,Vehicle,Convicted,Death
141,26-35,Other,Murder,City,Night,Knife,Yes,Online Fraud,Yes,Aggressive,No,Vehicle,Convicted,Short-term
142,36-50,Other,Murder,Rural,Night,Knife,No,Extortion,No,Manipulative,No,Vehicle,Convicted,Life
143,26-35,Male,Murder,Rural,Evening,Gun,No,Extortion,No,Manipulative,No,Fake Identity,Acquitted,N/A
144,18-25,Other,Human Trafficking,Metro,Morning,None,Yes,Online Fraud,Yes,Aggressive,No,Running,Under Trial,N/A
145,26-35,Female,Assault,Rural,Evening,None,No,Breaking & Entering,Yes,Calculated,Yes,Vehicle,Acquitted,N/A
146,51+,Other,Theft,Rural,Evening,None,No,Social Engineering,Yes,Aggressive,Yes,None,Convicted,Long-term
147,51+,Female,Theft,Rural,Evening,None,No,Breaking & Entering,Yes,Aggressive,No,Fake Identity,Under Trial,N/A
148,18-25,Male,Theft,Metro,Morning,Gun,No,Breaking & Entering,Yes,Aggressive,No,Fake Identity,Convicted,Life
149,26-35,Other,Cybercrime,City,Morning,Gun,Yes,Extortion,Yes,Opportunistic,No,Fake Identity,Convicted,Death
150,51+,Female,Cybercrime,Rural,Night,Knife,Yes,Brute Force,No,Calculated,No,Running,Acquitted,N/A
151,51+,Male,Human Trafficking,Rural,Night,Knife,No,Social Engineering,No,Aggressive,Yes,Fake Identity,Under Trial,N/A
152,18-25,Other,Kidnapping,City,Evening,Knife,No,Breaking & Entering,No,Manipulative,Yes,Fake Identity,Convicted,Death
153,18-25,Male,Human Trafficking,City,Morning,Knife,No,Online Fraud,No,Manipulative,Yes,Running,Under Trial,N/A
154,26-35,Male,Kidnapping,Rural,Night,Gun,No,Brute Force,No,Manipulative,Yes,Fake Identity,Acquitted,N/A
155,51+,Other,Drug Offense,Rural,Night,Digital Tools,Yes,Breaking & Entering,Yes,Manipulative,No,Fake Identity,Under Trial,N/A
156,36-50,Male,Drug Offense,Rural,Evening,None,Yes,Social Engineering,Yes,Aggressive,No,Vehicle,Convicted,Life
157,36-50,Female,Kidnapping,Metro,Morning,None,Yes,Extortion,Yes,Aggressive,No,Running,Acquitted,N/A
158,26-35,Male,Kidnapping,Metro,Evening,Gun,No,Social Engineering,Yes,Opportunistic,Yes,None,Convicted,Death
159,18-25,Other,Human Trafficking,Rural,Night,None,Yes,Online Fraud,Yes,Calculated,No,None,Acquitted,N/A
160,36-50,Female,Theft,Rural,Morning,Digital Tools,No,Online Fraud,Yes,Aggressive,No,Vehicle,Acquitted,N/A
161,36-50,Female,Kidnapping,Rural,Evening,Knife,Yes,Extortion,No,Opportunistic,Yes,Fake Identity,Under Trial,N/A
162,51+,Female,Murder,City,Evening,None,No,Social Engineering,No,Calculated,Yes,None,Convicted,Short-term
163,36-50,Other,Murder,Rural,Morning,Gun,No,Extortion,No,Opportunistic,No,Running,Acquitted,N/A
164,36-50,Female,Kidnapping,City,Morning,Knife,Yes,Breaking & Entering,No,Opportunistic,Yes,Running,Acquitted,N/A
165,36-50,Female,Kidnapping,City,Night,Digital Tools,No,Extortion,Yes,Calculated,No,Fake Identity,Acquitted,N/A
166,18-25,Male,Murder,City,Evening,Knife,No,Extortion,No,Manipulative,Yes,Fake Identity,Under Trial,N/A
167,18-25,Female,Kidnapping,Rural,Night,Knife,Yes,Extortion,Yes,Aggressive,Yes,Fake Identity,Convicted,Short-term
168,26-35,Female,Theft,Rural,Evening,None,Yes,Social Engineering,No,Manipulative,No,Running,Under Trial,N/A
169,51+,Male,Theft,City,Night,None,No,Extortion,No,Calculated,No,Running,Convicted,Short-term
170,36-50,Female,Kidnapping,City,Morning,Digital Tools,No,Online Fraud,No,Manipulative,No,Vehicle,Convicted,Death
171,26-35,Other,Fraud,Metro,Night,Digital Tools,Yes,Online Fraud,Yes,Calculated,Yes,None,Under Trial,N/A
172,51+,Other,Cybercrime,City,Morning,Gun,Yes,Online Fraud,Yes,Calculated,No,Vehicle,Acquitted,N/A
173,18-25,Female,Murder,City,Night,None,No,Online Fraud,Yes,Calculated,No,Vehicle,Convicted,Short-term
174,51+,Other,Human Trafficking,City,Night,Gun,No,Extortion,Yes,Aggressive,No,Vehicle,Under Trial,N/A
175,18-25,Other,Cybercrime,City,Night,Gun,No,Extortion,No,Manipulative,No,Vehicle,Convicted,Long-term
176,51+,Male,Theft,Rural,Morning,Digital Tools,Yes,Brute Force,Yes,Opportunistic,No,Fake Identity,Convicted,Long-term
177,36-50,Male,Murder,City,Night,None,No,Brute Force,No,Opportunistic,Yes,Running,Under Trial,N/A
178,26-35,Female,Human Trafficking,Metro,Night,None,Yes,Extortion,No,Calculated,No,Vehicle,Acquitted,N/A
179,26-35,Other,Assault,City,Morning,Knife,No,Online Fraud,Yes,Aggressive,No,None,Convicted,Life
180,26-35,Male,Human Trafficking,Metro,Night,Gun,Yes,Social Engineering,No,Opportunistic,Yes,Running,Under Trial,N/A
181,51+,Male,Human Trafficking,City,Night,None,No,Breaking & Entering,No,Calculated,No,Fake Identity,Convicted,Long-term
182,51+,Male,Human Trafficking,Rural,Morning,None,Yes,Online Fraud,No,Calculated,No,Running,Convicted,Short-term
183,36-50,Male,Theft,Rural,Morning,Knife,No,Extortion,Yes,Manipulative,Yes,Running,Under Trial,N/A
184,26-35,Female,Cybercrime,Metro,Night,Knife,Yes,Extortion,No,Manipulative,Yes,Running,Under Trial,N/A
185,51+,Other,Human Trafficking,City,Evening,Gun,Yes,Brute Force,No,Manipulative,Yes,Fake Identity,Acquitted,N/A
186,18-25,Female,Cybercrime,Rural,Evening,Knife,Yes,Breaking & Entering,Yes,Opportunistic,Yes,Fake Identity,Under Trial,N/A
187,51+,Female,Kidnapping,Metro,Morning,Knife,No,Breaking & Entering,Yes,Aggressive,No,Running,Acquitted,N/A
188,26-35,Other,Theft,Rural,Morning,Gun,Yes,Brute Force,No,Calculated,No,Fake Identity,Acquitted,N/A
189,36-50,Female,Fraud,Metro,Evening,Gun,No,Breaking & Entering,No,Opportunistic,Yes,Vehicle,Convicted,Short-term
190,26-35,Other,Fraud,City,Night,Gun,No,Breaking & Entering,No,Manipulative,Yes,Vehicle,Convicted,Long-term
191,18-25,Female,Murder,Metro,Night,None,No,Breaking & Entering,No,Aggressive,No,Running,Acquitted,N/A
192,26-35,Female,Cybercrime,Metro,Night,None,Yes,Social Engineering,No,Aggressive,No,Fake Identity,Under Trial,N/A
193,26-35,Male,Human Trafficking,Metro,Morning,Digital Tools,Yes,Social Engineering,No,Aggressive,No,None,Under Trial,N/A
194,26-35,Male,Kidnapping,City,Morning,Knife,Yes,Online Fraud,No,Aggressive,No,Fake Identity,Acquitted,N/A
195,26-35,Male,Kidnapping,Metro,Night,Digital Tools,Yes,Brute Force,Yes,Calculated,Yes,None,Convicted,Short-term
196,36-50,Other,Drug Offense,Rural,Night,Gun,No,Brute Force,No,Calculated,Yes,Fake Identity,Under Trial,N/A
197,36-50,Other,Drug Offense,Rural,Evening,Knife,Yes,Brute Force,Yes,Calculated,No,Running,Convicted,Long-term
198,18-25,Other,Drug Offense,City,Night,Digital Tools,Yes,Online Fraud,Yes,Calculated,No,Vehicle,Convicted,Life
199,26-35,Male,Theft,City,Morning,Knife,No,Extortion,No,Opportunistic,Yes,Fake Identity,Acquitted,N/A
200,36-50,Other,Fraud,City,Evening,Knife,No,Social Engineering,Yes,Aggressive,No,None,Acquitted,N/A
201,51+,Male,Fraud,City,Evening,Knife,No,Social Engineering,No,Opportunistic,Yes,Fake Identity,Acquitted,N/A
202,51+,Other,Assault,Rural,Night,Digital Tools,No,Extortion,No,Manipulative,No,None,Under Trial,N/A
203,36-50,Other,Murder,Rural,Morning,Knife,Yes,Social Engineering,No,Aggressive,No,None,Acquitted,N/A
204,26-35,Male,Theft,Rural,Night,Gun,No,Breaking & Entering,Yes,Aggressive,Yes,None,Under Trial,N/A
205,26-35,Female,Theft,Metro,Night,None,No,Brute Force,Yes,Calculated,Yes,Fake Identity,Convicted,Life
206,18-25,Female,Human Trafficking,Metro,Night,Digital Tools,Yes,Online Fraud,No,Opportunistic,No,None,Under Trial,N/A
207,26-35,Female,Murder,Rural,Morning,Gun,Yes,Breaking & Entering,Yes,Opportunistic,Yes,None,Under Trial,N/A
208,51+,Other,Kidnapping,City,Morning,Gun,Yes,Social Engineering,Yes,Opportunistic,No,None,Acquitted,N/A
209,36-50,Other,Theft,Rural,Morning,Digital Tools,No,Brute Force,Yes,Aggressive,No,Fake Identity,Under Trial,N/A
210,36-50,Male,Fraud,Metro,Morning,Gun,Yes,Social Engineering,No,Calculated,Yes,Running,Convicted,Life
211,26-35,Other,Fraud,Rural,Morning,Digital Tools,No,Social Engineering,Yes,Opportunistic,Yes,Running,Convicted,Death
212,51+,Other,Cybercrime,Rural,Evening,Knife,No,Social Engineering,Yes,Aggressive,Yes,Fake Identity,Acquitted,N/A
213,36-50,Female,Drug Offense,City,Night,Digital Tools,No,Online Fraud,No,Calculated,Yes,Vehicle,Under Trial,N/A
214,36-50,Other,Kidnapping,City,Night,Knife,No,Social Engineering,No,Calculated,No,None,Under Trial,N/A
215,18-25,Other,Murder,Metro,Evening,Knife,Yes,Online Fraud,Yes,Calculated,Yes,Vehicle,Convicted,Short-term
216,36-50,Other,Fraud,Metro,Night,Digital Tools,Yes,Social Engineering,Yes,Calculated,Yes,Vehicle,Under Trial,N/A
217,18-25,Female,Kidnapping,City,Evening,Digital Tools,Yes,Online Fraud,Yes,Aggressive,Yes,None,Acquitted,N/A
218,26-35,Male,Assault,Rural,Evening,None,No,Extortion,Yes,Aggressive,No,None,Convicted,Death
219,51+,Male,Fraud,Metro,Morning,Knife,No,Online Fraud,Yes,Manipulative,Yes,Fake Identity,Acquitted,N/A
220,18-25,Other,Assault,Rural,Night,None,No,Breaking & Entering,No,Calculated,No,Running,Acquitted,N/A
221,51+,Male,Cybercrime,City,Evening,Digital Tools,Yes,Breaking & Entering,Yes,Manipulative,Yes,Fake Identity,Convicted,Long-term
222,51+,Female,Fraud,City,Evening,Digital Tools,Yes,Brute Force,No,Aggressive,No,Running,Under Trial,N/A
