Criminal ID,Age,Gender,Crime Type,Crime Location,Time of Crime,Weapon Used,Prior Offenses,Modus Operandi,Associated Gang,Psychological Profile,Footprint/Fingerprint Match,Escape Method,Conviction Status,Sentence Duration,Education Level,Job Status,Geographical Factor
16,51+,Other,Assault,City,Evening,Knife,No,Extortion,Yes,Manipulative,No,None,Acquitted,N/A,Undergraduate,Employed,Rural
17,36-50,Female,Cybercrime,City,Morning,Digital Tools,No,Breaking & Entering,No,Aggressive,No,Fake Identity,Under Trial,N/A,Postgraduate,Self-Employed,Rural
18,36-50,Other,Assault,Metro,Morning,None,Yes,Breaking & Entering,Yes,Opportunistic,No,Running,Convicted,Death,High School,Student,Suburban
19,51+,Other,Murder,City,Night,Knife,No,Extortion,Yes,Manipulative,No,Fake Identity,Convicted,Life,Undergraduate,Self-Employed,Rural
20,26-35,Other,Cybercrime,Rural,Morning,Gun,No,Online Fraud,No,Aggressive,Yes,Running,Convicted,Death,Postgraduate,Self-Employed,Urban
21,51+,Male,Assault,Metro,Evening,Knife,No,Social Engineering,Yes,Aggressive,No,Fake Identity,Under Trial,N/A,Undergraduate,Student,Rural
22,36-50,Female,Drug Offense,Metro,Evening,Knife,Yes,Brute Force,Yes,Aggressive,Yes,Vehicle,Convicted,Death,Undergraduate,Student,Suburban
23,18-25,Other,Murder,Metro,Night,None,No,Brute Force,Yes,Opportunistic,No,None,Under Trial,N/A,Graduate,Employed,Urban
24,26-35,Female,Kidnapping,City,Night,None,Yes,Social Engineering,No,Manipulative,No,None,Acquitted,N/A,High School,Employed,Urban
25,36-50,Other,Kidnapping,City,Night,Knife,No,Extortion,No,Calculated,Yes,Running,Under Trial,N/A,Postgraduate,Student,Urban
26,26-35,Male,Assault,City,Evening,Knife,No,Online Fraud,Yes,Manipulative,Yes,Running,Acquitted,N/A,Graduate,Self-Employed,Suburban
27,26-35,Male,Assault,Metro,Morning,Digital Tools,Yes,Breaking & Entering,No,Calculated,Yes,Fake Identity,Under Trial,N/A,Graduate,Self-Employed,Suburban
28,51+,Other,Theft,Rural,Morning,None,No,Extortion,Yes,Manipulative,Yes,Vehicle,Convicted,Long-term,Undergraduate,Self-Employed,Rural
29,51+,Female,Theft,Metro,Evening,Knife,Yes,Extortion,No,Aggressive,Yes,None,Acquitted,N/A,High School,Self-Employed,Suburban
30,51+,Male,Theft,Rural,Morning,None,No,Online Fraud,Yes,Calculated,Yes,Vehicle,Convicted,Life,High School,Self-Employed,Suburban
31,36-50,Male,Murder,Metro,Night,Digital Tools,No,Online Fraud,No,Opportunistic,Yes,Vehicle,Convicted,Short-term,Postgraduate,Self-Employed,Urban
32,18-25,Male,Murder,Rural,Evening,None,Yes,Extortion,No,Manipulative,Yes,Running,Under Trial,N/A,Undergraduate,Self-Employed,Suburban
33,36-50,Female,Murder,Rural,Night,Knife,Yes,Extortion,Yes,Aggressive,No,Fake Identity,Convicted,Short-term,Postgraduate,Unemployed,Suburban
34,51+,Female,Fraud,Metro,Night,Digital Tools,Yes,Extortion,Yes,Opportunistic,No,Vehicle,Under Trial,N/A,High School,Employed,Rural
35,51+,Female,Fraud,Metro,Morning,Gun,Yes,Extortion,No,Aggressive,No,None,Under Trial,N/A,Undergraduate,Self-Employed,Suburban
36,26-35,Female,Murder,Metro,Night,Gun,No,Extortion,No,Aggressive,No,Fake Identity,Acquitted,N/A,High School,Unemployed,Suburban
37,26-35,Female,Fraud,Rural,Night,Gun,Yes,Social Engineering,Yes,Aggressive,Yes,None,Under Trial,N/A,Graduate,Unemployed,Urban
38,26-35,Other,Theft,City,Morning,None,No,Brute Force,No,Aggressive,Yes,Fake Identity,Convicted,Long-term,Undergraduate,Employed,Rural
39,18-25,Other,Fraud,Rural,Morning,Digital Tools,No,Breaking & Entering,Yes,Opportunistic,Yes,Running,Under Trial,N/A,Postgraduate,Student,Rural
40,51+,Female,Human Trafficking,Metro,Evening,Gun,Yes,Breaking & Entering,No,Calculated,Yes,Fake Identity,Convicted,Life,Undergraduate,Student,Suburban
41,26-35,Other,Cybercrime,Rural,Evening,Knife,Yes,Breaking & Entering,Yes,Calculated,No,None,Under Trial,N/A,High School,Employed,Urban
42,36-50,Female,Cybercrime,City,Night,None,Yes,Social Engineering,No,Aggressive,No,None,Acquitted,N/A,Undergraduate,Self-Employed,Urban
43,18-25,Other,Drug Offense,Metro,Night,Digital Tools,Yes,Breaking & Entering,Yes,Calculated,Yes,Vehicle,Acquitted,N/A,Graduate,Unemployed,Rural
44,36-50,Other,Human Trafficking,Rural,Evening,Knife,Yes,Online Fraud,No,Opportunistic,No,Vehicle,Under Trial,N/A,Postgraduate,Self-Employed,Rural
45,51+,Other,Human Trafficking,Metro,Morning,None,Yes,Brute Force,Yes,Aggressive,Yes,None,Acquitted,N/A,High School,Employed,Suburban
46,18-25,Male,Murder,City,Morning,Knife,Yes,Breaking & Entering,Yes,Opportunistic,No,Vehicle,Acquitted,N/A,Graduate,Self-Employed,Urban
47,26-35,Male,Assault,Metro,Morning,None,Yes,Online Fraud,No,Manipulative,Yes,None,Under Trial,N/A,Undergraduate,Student,Urban
48,18-25,Other,Drug Offense,City,Evening,None,Yes,Online Fraud,Yes,Aggressive,No,Fake Identity,Under Trial,N/A,Undergraduate,Employed,Urban
49,36-50,Female,Theft,Rural,Morning,Gun,Yes,Breaking & Entering,No,Aggressive,No,Fake Identity,Convicted,Short-term,Undergraduate,Student,Urban
50,26-35,Other,Kidnapping,Metro,Evening,Knife,Yes,Social Engineering,No,Manipulative,No,Vehicle,Convicted,Life,Postgraduate,Self-Employed,Urban
51,26-35,Female,Cybercrime,Rural,Night,Gun,Yes,Social Engineering,Yes,Aggressive,No,Vehicle,Under Trial,N/A,High School,Student,Rural
52,36-50,Male,Theft,Metro,Night,Knife,No,Extortion,Yes,Manipulative,Yes,None,Convicted,Death,Postgraduate,Self-Employed,Urban
53,18-25,Other,Fraud,Rural,Evening,Knife,Yes,Online Fraud,No,Manipulative,Yes,Running,Under Trial,N/A,High School,Student,Rural
54,36-50,Male,Drug Offense,Rural,Night,None,No,Brute Force,No,Calculated,Yes,Fake Identity,Acquitted,N/A,Graduate,Student,Rural
55,26-35,Male,Fraud,City,Evening,Knife,Yes,Extortion,Yes,Aggressive,No,Fake Identity,Under Trial,N/A,Postgraduate,Employed,Rural
56,26-35,Other,Fraud,Metro,Night,Knife,No,Breaking & Entering,No,Calculated,Yes,Vehicle,Convicted,Life,Postgraduate,Student,Urban
57,26-35,Other,Theft,Rural,Night,Gun,Yes,Social Engineering,Yes,Opportunistic,Yes,Running,Convicted,Death,Graduate,Employed,Urban
58,18-25,Male,Kidnapping,Rural,Night,Digital Tools,Yes,Social Engineering,No,Calculated,No,Running,Convicted,Long-term,High School,Employed,Urban
59,26-35,Male,Drug Offense,Metro,Morning,Digital Tools,Yes,Brute Force,Yes,Aggressive,No,Fake Identity,Convicted,Life,High School,Self-Employed,Rural
60,36-50,Female,Drug Offense,City,Evening,Digital Tools,No,Extortion,Yes,Aggressive,No,Running,Convicted,Life,Graduate,Employed,Suburban
61,26-35,Female,Drug Offense,Rural,Night,Digital Tools,No,Online Fraud,Yes,Opportunistic,Yes,None,Under Trial,N/A,Postgraduate,Self-Employed,Urban
62,26-35,Female,Theft,Rural,Night,None,Yes,Extortion,No,Manipulative,Yes,Fake Identity,Under Trial,N/A,Undergraduate,Student,Urban
63,18-25,Male,Human Trafficking,Rural,Night,Knife,No,Social Engineering,Yes,Calculated,No,None,Under Trial,N/A,High School,Employed,Rural
64,36-50,Other,Fraud,Rural,Night,Digital Tools,Yes,Brute Force,No,Aggressive,No,Fake Identity,Convicted,Long-term,Postgraduate,Unemployed,Urban
65,26-35,Male,Cybercrime,Rural,Night,Knife,No,Breaking & Entering,No,Calculated,No,Vehicle,Convicted,Death,Graduate,Student,Rural
66,51+,Other,Drug Offense,City,Evening,Digital Tools,No,Social Engineering,No,Calculated,Yes,Fake Identity,Convicted,Long-term,High School,Employed,Rural
67,36-50,Female,Drug Offense,City,Evening,Knife,No,Extortion,No,Opportunistic,Yes,None,Acquitted,N/A,Graduate,Self-Employed,Suburban
68,51+,Other,Human Trafficking,Metro,Evening,Knife,No,Social Engineering,Yes,Aggressive,Yes,Vehicle,Acquitted,N/A,Postgraduate,Student,Rural
69,36-50,Female,Drug Offense,City,Night,Knife,No,Breaking & Entering,Yes,Opportunistic,Yes,None,Convicted,Long-term,Undergraduate,Unemployed,Rural
70,26-35,Male,Cybercrime,City,Night,Digital Tools,Yes,Brute Force,Yes,Opportunistic,No,Running,Under Trial,N/A,Undergraduate,Self-Employed,Rural
71,18-25,Other,Cybercrime,Metro,Morning,Gun,No,Extortion,Yes,Opportunistic,Yes,Running,Under Trial,N/A,High School,Employed,Suburban
72,51+,Male,Theft,Metro,Morning,None,Yes,Brute Force,Yes,Aggressive,No,None,Acquitted,N/A,High School,Student,Suburban
73,51+,Male,Human Trafficking,City,Night,Gun,No,Social Engineering,Yes,Aggressive,Yes,None,Under Trial,N/A,Undergraduate,Employed,Urban
74,18-25,Other,Cybercrime,Rural,Evening,Knife,Yes,Extortion,No,Manipulative,No,Vehicle,Under Trial,N/A,High School,Employed,Suburban
75,18-25,Other,Drug Offense,Rural,Night,None,No,Online Fraud,Yes,Manipulative,Yes,Fake Identity,Convicted,Long-term,High School,Unemployed,Suburban
76,51+,Other,Drug Offense,Rural,Morning,None,No,Brute Force,Yes,Aggressive,No,Running,Acquitted,N/A,Undergraduate,Student,Rural
77,51+,Other,Cybercrime,City,Night,Digital Tools,No,Extortion,No,Opportunistic,Yes,Vehicle,Under Trial,N/A,High School,Unemployed,Urban
78,18-25,Other,Cybercrime,Metro,Evening,Knife,No,Online Fraud,No,Calculated,Yes,Fake Identity,Convicted,Life,Graduate,Employed,Rural
79,36-50,Male,Kidnapping,Metro,Night,Digital Tools,Yes,Brute Force,No,Aggressive,Yes,None,Acquitted,N/A,Graduate,Unemployed,Urban
80,18-25,Male,Kidnapping,Metro,Evening,Gun,No,Breaking & Entering,No,Calculated,Yes,Vehicle,Convicted,Long-term,Graduate,Unemployed,Suburban
81,18-25,Male,Human Trafficking,Rural,Evening,None,No,Extortion,Yes,Opportunistic,Yes,Fake Identity,Acquitted,N/A,Postgraduate,Student,Rural
82,36-50,Male,Murder,Rural,Morning,Digital Tools,Yes,Extortion,Yes,Aggressive,Yes,Running,Convicted,Long-term,High School,Student,Suburban
83,18-25,Other,Assault,Metro,Night,None,No,Online Fraud,Yes,Calculated,No,Running,Acquitted,N/A,Undergraduate,Unemployed,Rural
84,51+,Other,Fraud,Metro,Evening,Gun,No,Online Fraud,Yes,Calculated,No,Fake Identity,Under Trial,N/A,Postgraduate,Student,Rural
85,26-35,Male,Assault,City,Night,None,No,Breaking & Entering,No,Manipulative,Yes,Running,Acquitted,N/A,Postgraduate,Self-Employed,Rural
86,26-35,Male,Drug Offense,Rural,Night,None,Yes,Extortion,No,Opportunistic,No,Running,Under Trial,N/A,Postgraduate,Unemployed,Rural
87,36-50,Male,Theft,Metro,Evening,Knife,No,Extortion,Yes,Calculated,Yes,Fake Identity,Convicted,Long-term,Graduate,Student,Suburban
88,51+,Male,Kidnapping,Rural,Evening,Knife,Yes,Breaking & Entering,Yes,Aggressive,No,None,Acquitted,N/A,Graduate,Unemployed,Urban
89,18-25,Other,Assault,Rural,Evening,Knife,Yes,Brute Force,Yes,Opportunistic,Yes,None,Acquitted,N/A,Postgraduate,Unemployed,Urban
90,26-35,Other,Kidnapping,City,Night,None,No,Social Engineering,No,Aggressive,Yes,Running,Acquitted,N/A,Undergraduate,Employed,Rural
91,18-25,Male,Human Trafficking,Rural,Morning,Gun,Yes,Brute Force,No,Opportunistic,Yes,Running,Acquitted,N/A,Graduate,Self-Employed,Urban
92,26-35,Male,Theft,Rural,Night,Digital Tools,No,Online Fraud,No,Aggressive,Yes,None,Under Trial,N/A,Graduate,Student,Suburban
93,36-50,Male,Human Trafficking,Metro,Night,Gun,Yes,Social Engineering,No,Aggressive,Yes,Vehicle,Convicted,Life,High School,Employed,Rural
94,36-50,Male,Drug Offense,Rural,Evening,Digital Tools,No,Brute Force,No,Aggressive,No,Fake Identity,Convicted,Short-term,Graduate,Employed,Rural
95,36-50,Male,Theft,City,Morning,Knife,Yes,Breaking & Entering,No,Manipulative,Yes,None,Acquitted,N/A,Graduate,Unemployed,Rural
96,26-35,Female,Drug Offense,Metro,Morning,Gun,No,Online Fraud,No,Manipulative,No,Running,Acquitted,N/A,High School,Self-Employed,Urban
97,26-35,Male,Fraud,Metro,Morning,None,Yes,Online Fraud,No,Calculated,Yes,Running,Under Trial,N/A,Graduate,Self-Employed,Suburban
98,26-35,Other,Theft,City,Morning,Gun,Yes,Extortion,Yes,Opportunistic,No,Running,Under Trial,N/A,High School,Employed,Suburban
99,51+,Male,Fraud,Metro,Night,None,No,Breaking & Entering,Yes,Opportunistic,Yes,Fake Identity,Acquitted,N/A,Undergraduate,Self-Employed,Suburban
100,26-35,Male,Assault,Rural,Evening,Gun,Yes,Social Engineering,No,Opportunistic,Yes,Running,Acquitted,N/A,Graduate,Employed,Suburban
101,36-50,Female,Theft,Rural,Evening,None,No,Extortion,No,Aggressive,Yes,Fake Identity,Under Trial,N/A,High School,Self-Employed,Suburban
102,51+,Female,Fraud,Metro,Night,Digital Tools,Yes,Social Engineering,Yes,Manipulative,No,None,Convicted,Life,Postgraduate,Self-Employed,Urban
103,36-50,Male,Kidnapping,Rural,Night,None,No,Brute Force,Yes,Calculated,Yes,Vehicle,Under Trial,N/A,Graduate,Student,Suburban
104,26-35,Male,Human Trafficking,Rural,Morning,Knife,Yes,Breaking & Entering,Yes,Aggressive,No,Vehicle,Acquitted,N/A,Postgraduate,Unemployed,Urban
105,18-25,Other,Assault,Rural,Night,None,No,Online Fraud,No,Aggressive,No,Fake Identity,Convicted,Short-term,Undergraduate,Student,Suburban
106,18-25,Female,Fraud,City,Morning,Knife,No,Brute Force,Yes,Calculated,Yes,Running,Convicted,Life,Graduate,Self-Employed,Rural
107,18-25,Male,Theft,City,Night,Digital Tools,No,Breaking & Entering,No,Opportunistic,No,Running,Acquitted,N/A,Undergraduate,Unemployed,Urban
108,26-35,Other,Human Trafficking,Rural,Evening,Gun,No,Breaking & Entering,Yes,Opportunistic,Yes,Vehicle,Acquitted,N/A,High School,Unemployed,Rural
109,18-25,Other,Drug Offense,City,Morning,Digital Tools,Yes,Social Engineering,No,Manipulative,Yes,Vehicle,Convicted,Long-term,Graduate,Unemployed,Rural
110,36-50,Male,Fraud,Rural,Morning,Knife,Yes,Online Fraud,Yes,Manipulative,No,None,Under Trial,N/A,Postgraduate,Self-Employed,Rural
111,51+,Male,Kidnapping,Rural,Evening,None,No,Extortion,Yes,Manipulative,Yes,Fake Identity,Convicted,Life,Graduate,Employed,Suburban
112,51+,Female,Human Trafficking,Rural,Evening,None,No,Brute Force,Yes,Calculated,No,Fake Identity,Acquitted,N/A,High School,Student,Urban
113,51+,Male,Human Trafficking,Rural,Night,Knife,Yes,Social Engineering,No,Aggressive,Yes,Fake Identity,Convicted,Death,Graduate,Self-Employed,Rural
114,36-50,Other,Drug Offense,Metro,Evening,None,Yes,Extortion,Yes,Calculated,Yes,Vehicle,Acquitted,N/A,Undergraduate,Employed,Urban
115,51+,Male,Drug Offense,City,Morning,Knife,Yes,Extortion,Yes,Aggressive,Yes,Fake Identity,Acquitted,N/A,Undergraduate,Self-Employed,Suburban
116,51+,Male,Theft,Rural,Morning,Digital Tools,No,Extortion,No,Opportunistic,Yes,Vehicle,Acquitted,N/A,Postgraduate,Student,Urban
117,18-25,Other,Fraud,Metro,Evening,Gun,No,Breaking & Entering,Yes,Opportunistic,Yes,Vehicle,Acquitted,N/A,Graduate,Employed,Urban
118,18-25,Other,Human Trafficking,City,Morning,Knife,No,Breaking & Entering,Yes,Manipulative,Yes,Fake Identity,Under Trial,N/A,Undergraduate,Employed,Suburban
119,51+,Male,Cybercrime,Metro,Morning,Knife,No,Online Fraud,No,Calculated,Yes,None,Convicted,Short-term,High School,Self-Employed,Urban
120,51+,Female,Drug Offense,Metro,Evening,Gun,Yes,Online Fraud,No,Opportunistic,Yes,None,Acquitted,N/A,Postgraduate,Student,Rural
121,51+,Male,Drug Offense,Metro,Night,Digital Tools,Yes,Social Engineering,Yes,Aggressive,No,Running,Convicted,Short-term,Graduate,Self-Employed,Rural
122,26-35,Female,Human Trafficking,Rural,Night,Gun,No,Brute Force,Yes,Calculated,No,None,Convicted,Life,Undergraduate,Student,Rural
123,51+,Female,Drug Offense,Metro,Morning,Digital Tools,No,Online Fraud,No,Opportunistic,Yes,Fake Identity,Convicted,Life,Postgraduate,Self-Employed,Urban
124,18-25,Female,Kidnapping,Rural,Evening,Gun,No,Social Engineering,Yes,Aggressive,No,Vehicle,Acquitted,N/A,Undergraduate,Student,Urban
125,51+,Other,Fraud,City,Morning,None,Yes,Online Fraud,No,Aggressive,No,Running,Acquitted,N/A,High School,Student,Urban
126,18-25,Other,Fraud,Rural,Night,Gun,Yes,Social Engineering,Yes,Calculated,No,None,Under Trial,N/A,Graduate,Unemployed,Urban
127,18-25,Male,Kidnapping,City,Evening,Knife,No,Breaking & Entering,Yes,Manipulative,No,Vehicle,Acquitted,N/A,Undergraduate,Employed,Urban
128,18-25,Female,Drug Offense,Rural,Night,None,No,Extortion,No,Opportunistic,No,None,Convicted,Short-term,Graduate,Self-Employed,Urban
129,51+,Female,Cybercrime,City,Night,None,Yes,Online Fraud,No,Opportunistic,No,Running,Convicted,Short-term,Graduate,Student,Urban
130,26-35,Other,Murder,Metro,Evening,Gun,No,Brute Force,No,Calculated,No,Running,Acquitted,N/A,Graduate,Unemployed,Rural
131,51+,Male,Kidnapping,Metro,Morning,Gun,Yes,Brute Force,No,Aggressive,No,Running,Convicted,Long-term,High School,Unemployed,Suburban
132,18-25,Male,Kidnapping,Metro,Night,Knife,No,Breaking & Entering,Yes,Aggressive,No,Fake Identity,Convicted,Long-term,Graduate,Self-Employed,Urban
133,51+,Other,Theft,City,Morning,None,No,Online Fraud,No,Aggressive,No,None,Acquitted,N/A,Postgraduate,Student,Rural
134,18-25,Other,Fraud,Rural,Evening,None,No,Online Fraud,No,Opportunistic,Yes,Fake Identity,Acquitted,N/A,Graduate,Self-Employed,Urban
135,36-50,Male,Cybercrime,City,Evening,Digital Tools,No,Extortion,No,Opportunistic,Yes,Running,Under Trial,N/A,Graduate,Unemployed,Suburban
136,26-35,Female,Fraud,Rural,Morning,Gun,Yes,Online Fraud,No,Calculated,Yes,Fake Identity,Convicted,Death,Graduate,Self-Employed,Urban
137,36-50,Other,Cybercrime,Rural,Evening,Gun,Yes,Breaking & Entering,No,Aggressive,No,Vehicle,Under Trial,N/A,Undergraduate,Unemployed,Rural
138,18-25,Other,Human Trafficking,City,Morning,None,No,Social Engineering,Yes,Opportunistic,No,Vehicle,Convicted,Short-term,High School,Student,Suburban
139,18-25,Male,Human Trafficking,Metro,Night,Digital Tools,No,Breaking & Entering,No,Opportunistic,Yes,None,Under Trial,N/A,Graduate,Self-Employed,Rural
140,36-50,Male,Human Trafficking,Metro,Morning,Digital Tools,Yes,Brute Force,No,Opportunistic,Yes,Running,Convicted,Life,High School,Self-Employed,Suburban
141,36-50,Other,Human Trafficking,Metro,Night,Gun,No,Online Fraud,Yes,Calculated,Yes,Vehicle,Acquitted,N/A,Postgraduate,Unemployed,Urban
142,26-35,Male,Cybercrime,City,Evening,None,Yes,Brute Force,Yes,Manipulative,Yes,None,Under Trial,N/A,Undergraduate,Self-Employed,Urban
143,18-25,Male,Assault,Rural,Evening,Gun,No,Online Fraud,Yes,Manipulative,No,Running,Convicted,Short-term,Graduate,Employed,Suburban
144,51+,Female,Theft,Metro,Night,Gun,Yes,Brute Force,Yes,Calculated,Yes,Running,Under Trial,N/A,Undergraduate,Unemployed,Suburban
145,26-35,Other,Drug Offense,Rural,Evening,None,Yes,Social Engineering,No,Aggressive,Yes,Fake Identity,Convicted,Short-term,High School,Employed,Urban
146,51+,Other,Drug Offense,City,Morning,None,Yes,Online Fraud,No,Manipulative,No,None,Convicted,Long-term,Undergraduate,Student,Rural
147,51+,Other,Human Trafficking,City,Morning,Gun,No,Social Engineering,Yes,Opportunistic,No,None,Acquitted,N/A,Undergraduate,Employed,Rural
148,51+,Female,Assault,Rural,Night,Digital Tools,Yes,Social Engineering,Yes,Aggressive,No,None,Convicted,Short-term,High School,Self-Employed,Urban
149,18-25,Other,Human Trafficking,Rural,Evening,Digital Tools,No,Brute Force,No,Calculated,Yes,Fake Identity,Convicted,Death,Graduate,Unemployed,Urban
150,36-50,Male,Drug Offense,Rural,Morning,Knife,Yes,Brute Force,Yes,Manipulative,No,Running,Convicted,Death,Graduate,Self-Employed,Suburban
151,18-25,Female,Murder,Metro,Night,Knife,Yes,Online Fraud,No,Opportunistic,Yes,Vehicle,Convicted,Life,Graduate,Self-Employed,Suburban
152,36-50,Other,Theft,Metro,Morning,Gun,Yes,Brute Force,No,Opportunistic,Yes,Fake Identity,Convicted,Death,Postgraduate,Student,Urban
153,18-25,Other,Fraud,Metro,Evening,Knife,Yes,Social Engineering,Yes,Calculated,Yes,Fake Identity,Convicted,Short-term,Undergraduate,Student,Suburban
154,51+,Male,Kidnapping,Metro,Night,Gun,Yes,Online Fraud,No,Aggressive,No,Running,Acquitted,N/A,High School,Self-Employed,Suburban
155,36-50,Female,Kidnapping,Metro,Evening,Knife,No,Breaking & Entering,Yes,Calculated,No,Fake Identity,Convicted,Death,Undergraduate,Self-Employed,Urban
156,18-25,Male,Theft,Rural,Night,Knife,No,Online Fraud,No,Manipulative,No,None,Acquitted,N/A,High School,Unemployed,Suburban
157,18-25,Female,Murder,City,Night,Digital Tools,Yes,Online Fraud,Yes,Calculated,Yes,Vehicle,Acquitted,N/A,Postgraduate,Student,Urban
158,36-50,Male,Human Trafficking,City,Evening,None,Yes,Brute Force,Yes,Manipulative,No,None,Under Trial,N/A,Graduate,Self-Employed,Rural
159,51+,Other,Theft,Metro,Evening,Knife,No,Extortion,No,Aggressive,Yes,Running,Under Trial,N/A,High School,Employed,Suburban
160,26-35,Female,Human Trafficking,Metro,Morning,Digital Tools,No,Social Engineering,No,Aggressive,No,Running,Acquitted,N/A,Undergraduate,Student,Rural
161,51+,Female,Kidnapping,City,Evening,Knife,Yes,Online Fraud,No,Manipulative,Yes,Running,Acquitted,N/A,High School,Employed,Rural
162,26-35,Male,Cybercrime,Rural,Morning,None,Yes,Extortion,No,Opportunistic,No,Fake Identity,Under Trial,N/A,Undergraduate,Unemployed,Rural
163,51+,Female,Drug Offense,City,Morning,None,No,Social Engineering,Yes,Manipulative,No,Vehicle,Convicted,Life,High School,Self-Employed,Rural
164,36-50,Female,Human Trafficking,City,Evening,Gun,No,Online Fraud,Yes,Calculated,Yes,Fake Identity,Convicted,Life,Graduate,Employed,Suburban
165,51+,Female,Theft,City,Evening,Gun,No,Breaking & Entering,No,Calculated,No,Running,Acquitted,N/A,Undergraduate,Employed,Rural
166,26-35,Other,Murder,City,Night,None,No,Brute Force,Yes,Calculated,No,Vehicle,Convicted,Death,High School,Student,Urban
167,26-35,Male,Human Trafficking,Rural,Night,Knife,Yes,Extortion,Yes,Opportunistic,No,Fake Identity,Convicted,Long-term,Undergraduate,Employed,Urban
168,51+,Female,Fraud,Rural,Morning,Knife,Yes,Social Engineering,Yes,Manipulative,Yes,Running,Convicted,Long-term,Postgraduate,Self-Employed,Rural
169,36-50,Female,Drug Offense,Metro,Evening,None,Yes,Social Engineering,Yes,Calculated,Yes,Running,Acquitted,N/A,Undergraduate,Student,Rural
170,18-25,Other,Drug Offense,Metro,Evening,Digital Tools,No,Online Fraud,No,Opportunistic,No,None,Under Trial,N/A,High School,Employed,Suburban
171,36-50,Male,Fraud,Rural,Night,Knife,No,Social Engineering,No,Manipulative,No,None,Acquitted,N/A,High School,Student,Urban
172,51+,Female,Theft,City,Night,Gun,Yes,Breaking & Entering,No,Opportunistic,No,None,Acquitted,N/A,Undergraduate,Student,Urban
173,36-50,Female,Theft,Metro,Evening,Digital Tools,Yes,Social Engineering,Yes,Manipulative,No,None,Convicted,Life,High School,Self-Employed,Urban
174,18-25,Other,Human Trafficking,Rural,Evening,None,Yes,Breaking & Entering,Yes,Manipulative,No,None,Convicted,Short-term,High School,Unemployed,Suburban
175,18-25,Other,Assault,City,Night,None,Yes,Social Engineering,Yes,Opportunistic,No,None,Convicted,Short-term,Graduate,Unemployed,Suburban
176,18-25,Male,Kidnapping,City,Evening,Digital Tools,Yes,Social Engineering,Yes,Calculated,No,Running,Acquitted,N/A,Graduate,Student,Suburban
177,51+,Male,Human Trafficking,City,Morning,Gun,No,Extortion,No,Opportunistic,No,Fake Identity,Under Trial,N/A,Undergraduate,Unemployed,Rural
178,51+,Female,Drug Offense,Rural,Evening,Knife,Yes,Breaking & Entering,Yes,Manipulative,No,Vehicle,Under Trial,N/A,Postgraduate,Unemployed,Urban
179,26-35,Male,Theft,Metro,Morning,Knife,No,Breaking & Entering,Yes,Calculated,Yes,Vehicle,Convicted,Life,Undergraduate,Employed,Rural
